contractID;contractType;riskFactorID;type;time;payoff;currency;nominalValue;nominalRate;nominalAccrued;reportingLine;reportingLineDesc;Date;ReportingDate;DiffToReportingDate;TimeBucket
annuity01;ANN;UST5Y_steadyRates;IED;2021-01-01;-314083;CHF;314083;0.03;0;32;Money market mortgages;2021-01-01;2024-01-01;-1095;999
annuity01;ANN;UST5Y_steadyRates;PRF;2021-07-16;0;CHF;314083;0.03;5103.84875;32;Money market mortgages;2021-07-16;2024-01-01;-899;999
annuity01;ANN;UST5Y_steadyRates;PR;2021-07-17;-1429.23300696408;CHF;315512.233006964;0.03;5130.02233333333;32;Money market mortgages;2021-07-17;2024-01-01;-898;999
annuity01;ANN;UST5Y_steadyRates;IP;2021-07-17;5130.02233333333;CHF;315512.233006964;0.03;0;32;Money market mortgages;2021-07-17;2024-01-01;-898;999
annuity01;ANN;UST5Y_steadyRates;PR;2021-08-17;2912.00874385184;CHF;312600.224263112;0.03;788.78058251741;32;Money market mortgages;2021-08-17;2024-01-01;-867;999
annuity01;ANN;UST5Y_steadyRates;IP;2021-08-17;788.78058251741;CHF;312600.224263112;0.03;0;32;Money market mortgages;2021-08-17;2024-01-01;-867;999
annuity01;ANN;UST5Y_steadyRates;PR;2021-09-17;2919.28876571147;CHF;309680.935497401;0.03;781.500560657781;32;Money market mortgages;2021-09-17;2024-01-01;-836;999
annuity01;ANN;UST5Y_steadyRates;IP;2021-09-17;781.500560657781;CHF;309680.935497401;0.03;0;32;Money market mortgages;2021-09-17;2024-01-01;-836;999
annuity01;ANN;UST5Y_steadyRates;PR;2021-10-17;2926.58698762575;CHF;306754.348509775;0.03;774.202338743502;32;Money market mortgages;2021-10-17;2024-01-01;-806;999
annuity01;ANN;UST5Y_steadyRates;IP;2021-10-17;774.202338743502;CHF;306754.348509775;0.03;0;32;Money market mortgages;2021-10-17;2024-01-01;-806;999
annuity01;ANN;UST5Y_steadyRates;PR;2021-11-17;2933.90345509481;CHF;303820.44505468;0.03;766.885871274438;32;Money market mortgages;2021-11-17;2024-01-01;-775;999
annuity01;ANN;UST5Y_steadyRates;IP;2021-11-17;766.885871274438;CHF;303820.44505468;0.03;0;32;Money market mortgages;2021-11-17;2024-01-01;-775;999
annuity01;ANN;UST5Y_steadyRates;PR;2021-12-17;2941.23821373255;CHF;300879.206840948;0.03;759.551112636701;32;Money market mortgages;2021-12-17;2024-01-01;-745;999
annuity01;ANN;UST5Y_steadyRates;IP;2021-12-17;759.551112636701;CHF;300879.206840948;0.03;0;32;Money market mortgages;2021-12-17;2024-01-01;-745;999
annuity01;ANN;UST5Y_steadyRates;RR;2021-12-31;0;CHF;300879.206840948;0.01263;325.952474077693;32;Money market mortgages;2021-12-31;2024-01-01;-731;999
annuity01;ANN;UST5Y_steadyRates;PRF;2021-12-31;0;CHF;300879.206840948;0.01263;325.952474077693;32;Money market mortgages;2021-12-31;2024-01-01;-731;999
annuity01;ANN;UST5Y_steadyRates;PR;2022-01-17;2965.72455277688;CHF;297913.482288171;0.01263;505.401847691082;32;Money market mortgages;2022-01-17;2024-01-01;-714;999
annuity01;ANN;UST5Y_steadyRates;IP;2022-01-17;505.401847691082;CHF;297913.482288171;0.01263;0;32;Money market mortgages;2022-01-17;2024-01-01;-714;999
annuity01;ANN;UST5Y_steadyRates;PR;2022-02-17;3157.57246035966;CHF;294755.909827811;0.01263;313.5539401083;32;Money market mortgages;2022-02-17;2024-01-01;-683;999
annuity01;ANN;UST5Y_steadyRates;IP;2022-02-17;313.5539401083;CHF;294755.909827811;0.01263;0;32;Money market mortgages;2022-02-17;2024-01-01;-683;999
annuity01;ANN;UST5Y_steadyRates;PR;2022-03-17;3160.89580537419;CHF;291595.014022437;0.01263;310.230595093771;32;Money market mortgages;2022-03-17;2024-01-01;-655;999
annuity01;ANN;UST5Y_steadyRates;IP;2022-03-17;310.230595093771;CHF;291595.014022437;0.01263;0;32;Money market mortgages;2022-03-17;2024-01-01;-655;999
annuity01;ANN;UST5Y_steadyRates;PR;2022-04-17;3164.22264820935;CHF;288430.791374228;0.01263;306.903752258615;32;Money market mortgages;2022-04-17;2024-01-01;-624;999
annuity01;ANN;UST5Y_steadyRates;IP;2022-04-17;306.903752258615;CHF;288430.791374228;0.01263;0;32;Money market mortgages;2022-04-17;2024-01-01;-624;999
annuity01;ANN;UST5Y_steadyRates;PR;2022-05-17;3167.55299254659;CHF;285263.238381681;0.01263;303.573407921374;32;Money market mortgages;2022-05-17;2024-01-01;-594;999
annuity01;ANN;UST5Y_steadyRates;IP;2022-05-17;303.573407921374;CHF;285263.238381681;0.01263;0;32;Money market mortgages;2022-05-17;2024-01-01;-594;999
annuity01;ANN;UST5Y_steadyRates;PR;2022-06-17;3170.88684207124;CHF;282092.35153961;0.01263;300.239558396719;32;Money market mortgages;2022-06-17;2024-01-01;-563;999
annuity01;ANN;UST5Y_steadyRates;IP;2022-06-17;300.239558396719;CHF;282092.35153961;0.01263;0;32;Money market mortgages;2022-06-17;2024-01-01;-563;999
annuity01;ANN;UST5Y_steadyRates;PR;2022-07-17;3174.22420047252;CHF;278918.127339137;0.01263;296.902199995439;32;Money market mortgages;2022-07-17;2024-01-01;-533;999
annuity01;ANN;UST5Y_steadyRates;IP;2022-07-17;296.902199995439;CHF;278918.127339137;0.01263;0;32;Money market mortgages;2022-07-17;2024-01-01;-533;999
annuity01;ANN;UST5Y_steadyRates;PR;2022-08-17;3177.56507144352;CHF;275740.562267694;0.01263;293.561329024442;32;Money market mortgages;2022-08-17;2024-01-01;-502;999
annuity01;ANN;UST5Y_steadyRates;IP;2022-08-17;293.561329024442;CHF;275740.562267694;0.01263;0;32;Money market mortgages;2022-08-17;2024-01-01;-502;999
annuity01;ANN;UST5Y_steadyRates;PR;2022-09-17;3180.90945868122;CHF;272559.652809013;0.01263;290.216941786748;32;Money market mortgages;2022-09-17;2024-01-01;-471;999
annuity01;ANN;UST5Y_steadyRates;IP;2022-09-17;290.216941786748;CHF;272559.652809013;0.01263;0;32;Money market mortgages;2022-09-17;2024-01-01;-471;999
annuity01;ANN;UST5Y_steadyRates;PR;2022-10-17;3184.25736588648;CHF;269375.395443126;0.01263;286.869034581486;32;Money market mortgages;2022-10-17;2024-01-01;-441;999
